TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AdaptSdpKnobPull;FCU_AdaptSpdKnobPush;FCU_AdaptVsKnobPull;FCU_AdaptVsKnobPush;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
421.72;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.06427000000000001;0.06427000000000001;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.073196;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5717.387891488893;204.68829234023553;EFB;0;
421.73;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.07498200000000001;0.07498200000000001;-0.032135000000000004;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.073196;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5717.7896397110435;204.7000187803432;EFB;0;
421.74;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.053558;0.08569299999999999;0.096405;-0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.032657;-0.06690700000000001;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5718.191405945887;204.7117455649061;EFB;0;
421.75;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.06427000000000001;0.08569299999999999;-0.021423;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.041549;-0.028152;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5718.593190193795;204.7234726939248;EFB;0;
421.76;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.07498200000000001;0.08569299999999999;0.010712;0.021423;0.0;1.0;0.0;1.0;0.0;-0.08884500000000001;-0.029279000000000006;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5718.9949924551465;204.73520016740005;EFB;0;
421.77;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.48367;0.053558;0.07498200000000001;-0.010712;0.042847;0.0;1.0;0.0;1.0;0.0;-0.084231;0.0;-0.06690700000000001;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5719.396812730318;204.74692798533266;EFB;0;
421.78;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.07498200000000001;0.07498200000000001;0.096405;-0.010712;0.0;1.0;0.0;1.0;0.0;-0.0046346;0.0;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5719.798651019685;204.75865614772337;EFB;0;
421.79;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.48682;0.06427000000000001;0.08569299999999999;0.0;0.021423;0.0;1.0;0.0;1.0;0.0;-0.023092;0.006756600000000001;-0.06690700000000001;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5720.200507323623;204.7703846545728;EFB;0;
421.8;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.48682;0.06427000000000001;0.08569299999999999;-0.021423;0.042847;0.0;1.0;0.0;1.0;0.0;-0.083077;0.0;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5720.6023816425095;204.78211350588177;EFB;0;
421.81;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.07498200000000001;-0.032135000000000004;0.053558;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.02027;-0.06806;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5721.0042739767205;204.79384270165104;EFB;0;
